Code,Site,Year,Type,Dups,PCB,Flag,Concentration
MERY1N,MERY,1993,n,NA,PCB_8_5,TRUE,2
MERY1N,MERY,1993,n,NA,PCB_18_15,TRUE,2
MERY1N,MERY,1993,n,NA,PCB_28,TRUE,2
MERY1N,MERY,1993,n,NA,PCB_29,TRUE,2
MERY1N,MERY,1993,n,NA,PCB_44,TRUE,2
MERY1N,MERY,1993,n,NA,PCB_50,TRUE,2
MERY1N,MERY,1993,n,NA,PCB_52,TRUE,2
MERY1N,MERY,1993,n,NA,PCB_66_95,FALSE,2.2
MERY1N,MERY,1993,n,NA,PCB_77,TRUE,2
MERY1N,MERY,1993,n,NA,PCB_87,TRUE,2
MERY1N,MERY,1993,n,NA,PCB_101_90,FALSE,2.9
MERY1N,MERY,1993,n,NA,PCB_105,TRUE,2
MERY1N,MERY,1993,n,NA,PCB_118,TRUE,2
MERY1N,MERY,1993,n,NA,PCB_126,TRUE,2
MERY1N,MERY,1993,n,NA,PCB_128,TRUE,2
MERY1N,MERY,1993,n,NA,PCB_138,FALSE,5.9
MERY1N,MERY,1993,n,NA,PCB_153_132,FALSE,8.6
MERY1N,MERY,1993,n,NA,PCB_169,TRUE,2
MERY1N,MERY,1993,n,NA,PCB_170_190,TRUE,2
MERY1N,MERY,1993,n,NA,PCB_180,TRUE,2
MERY1N,MERY,1993,n,NA,PCB_187,TRUE,2
MERY1N,MERY,1993,n,NA,PCB_195_208,TRUE,2
MERY1N,MERY,1993,n,NA,PCB_206,TRUE,2
MERY1N,MERY,1993,n,NA,PCB_209,TRUE,2
MERY1N,MERY,1993,n,NA,Total,FALSE,20
MERY2N,MERY,1993,n,NA,PCB_8_5,TRUE,2
MERY2N,MERY,1993,n,NA,PCB_18_15,TRUE,2
MERY2N,MERY,1993,n,NA,PCB_28,TRUE,2
MERY2N,MERY,1993,n,NA,PCB_29,TRUE,2
MERY2N,MERY,1993,n,NA,PCB_44,TRUE,2
MERY2N,MERY,1993,n,NA,PCB_50,TRUE,2
MERY2N,MERY,1993,n,NA,PCB_52,TRUE,2
MERY2N,MERY,1993,n,NA,PCB_66_95,TRUE,2
MERY2N,MERY,1993,n,NA,PCB_77,TRUE,2
MERY2N,MERY,1993,n,NA,PCB_87,TRUE,2
MERY2N,MERY,1993,n,NA,PCB_101_90,TRUE,2
MERY2N,MERY,1993,n,NA,PCB_105,TRUE,2
MERY2N,MERY,1993,n,NA,PCB_118,TRUE,2
MERY2N,MERY,1993,n,NA,PCB_126,TRUE,2
MERY2N,MERY,1993,n,NA,PCB_128,TRUE,2
MERY2N,MERY,1993,n,NA,PCB_138,TRUE,2
MERY2N,MERY,1993,n,NA,PCB_153_132,FALSE,3.2
MERY2N,MERY,1993,n,NA,PCB_169,TRUE,2
MERY2N,MERY,1993,n,NA,PCB_170_190,TRUE,2
MERY2N,MERY,1993,n,NA,PCB_180,TRUE,2
MERY2N,MERY,1993,n,NA,PCB_187,TRUE,2
MERY2N,MERY,1993,n,NA,PCB_195_208,TRUE,2
MERY2N,MERY,1993,n,NA,PCB_206,TRUE,2
MERY2N,MERY,1993,n,NA,PCB_209,TRUE,2
MERY2N,MERY,1993,n,NA,Total,FALSE,3.2
MERY3N,MERY,1993,n,NA,PCB_8_5,TRUE,2
MERY3N,MERY,1993,n,NA,PCB_18_15,TRUE,2
MERY3N,MERY,1993,n,NA,PCB_28,TRUE,2
MERY3N,MERY,1993,n,NA,PCB_29,TRUE,2
MERY3N,MERY,1993,n,NA,PCB_44,TRUE,2
MERY3N,MERY,1993,n,NA,PCB_50,TRUE,2
MERY3N,MERY,1993,n,NA,PCB_52,TRUE,2
MERY3N,MERY,1993,n,NA,PCB_66_95,TRUE,2
MERY3N,MERY,1993,n,NA,PCB_77,TRUE,2
MERY3N,MERY,1993,n,NA,PCB_87,TRUE,2
MERY3N,MERY,1993,n,NA,PCB_101_90,TRUE,2
MERY3N,MERY,1993,n,NA,PCB_105,TRUE,2
MERY3N,MERY,1993,n,NA,PCB_118,TRUE,2
MERY3N,MERY,1993,n,NA,PCB_126,TRUE,2
MERY3N,MERY,1993,n,NA,PCB_128,TRUE,2
MERY3N,MERY,1993,n,NA,PCB_138,FALSE,5.5
MERY3N,MERY,1993,n,NA,PCB_153_132,FALSE,9.6
MERY3N,MERY,1993,n,NA,PCB_169,TRUE,2
MERY3N,MERY,1993,n,NA,PCB_170_190,TRUE,2
MERY3N,MERY,1993,n,NA,PCB_180,TRUE,2
MERY3N,MERY,1993,n,NA,PCB_187,TRUE,2
MERY3N,MERY,1993,n,NA,PCB_195_208,FALSE,2.1
MERY3N,MERY,1993,n,NA,PCB_206,TRUE,2
MERY3N,MERY,1993,n,NA,PCB_209,TRUE,2
MERY3N,MERY,1993,n,NA,Total,FALSE,17
MERY1N,MERY,1993,n,NA,PCB_8_5,TRUE,2
MERY1N,MERY,1993,n,NA,PCB_18_15,TRUE,2
MERY1N,MERY,1993,n,NA,PCB_28,TRUE,2
MERY1N,MERY,1993,n,NA,PCB_29,TRUE,2
MERY1N,MERY,1993,n,NA,PCB_44,TRUE,2
MERY1N,MERY,1993,n,NA,PCB_50,TRUE,2
MERY1N,MERY,1993,n,NA,PCB_52,TRUE,2
MERY1N,MERY,1993,n,NA,PCB_66_95,FALSE,2.2
MERY1N,MERY,1993,n,NA,PCB_77,TRUE,2
MERY1N,MERY,1993,n,NA,PCB_87,TRUE,2
MERY1N,MERY,1993,n,NA,PCB_101_90,FALSE,2.9
MERY1N,MERY,1993,n,NA,PCB_105,TRUE,2
MERY1N,MERY,1993,n,NA,PCB_118,TRUE,2
MERY1N,MERY,1993,n,NA,PCB_126,TRUE,2
MERY1N,MERY,1993,n,NA,PCB_128,TRUE,2
MERY1N,MERY,1993,n,NA,PCB_138,FALSE,5.9
MERY1N,MERY,1993,n,NA,PCB_153_132,FALSE,8.6
MERY1N,MERY,1993,n,NA,PCB_169,TRUE,2
MERY1N,MERY,1993,n,NA,PCB_170_190,TRUE,2
MERY1N,MERY,1993,n,NA,PCB_180,TRUE,2
MERY1N,MERY,1993,n,NA,PCB_187,TRUE,2
MERY1N,MERY,1993,n,NA,PCB_195_208,TRUE,2
MERY1N,MERY,1993,n,NA,PCB_206,TRUE,2
MERY1N,MERY,1993,n,NA,PCB_209,TRUE,2
MERY1N,MERY,1993,n,NA,Total,FALSE,20
MERY2N,MERY,1993,n,NA,PCB_8_5,TRUE,2
MERY2N,MERY,1993,n,NA,PCB_18_15,TRUE,2
MERY2N,MERY,1993,n,NA,PCB_28,TRUE,2
MERY2N,MERY,1993,n,NA,PCB_29,TRUE,2
MERY2N,MERY,1993,n,NA,PCB_44,TRUE,2
MERY2N,MERY,1993,n,NA,PCB_50,TRUE,2
MERY2N,MERY,1993,n,NA,PCB_52,TRUE,2
MERY2N,MERY,1993,n,NA,PCB_66_95,TRUE,2
MERY2N,MERY,1993,n,NA,PCB_77,TRUE,2
MERY2N,MERY,1993,n,NA,PCB_87,TRUE,2
MERY2N,MERY,1993,n,NA,PCB_101_90,TRUE,2
MERY2N,MERY,1993,n,NA,PCB_105,TRUE,2
MERY2N,MERY,1993,n,NA,PCB_118,TRUE,2
MERY2N,MERY,1993,n,NA,PCB_126,TRUE,2
MERY2N,MERY,1993,n,NA,PCB_128,TRUE,2
MERY2N,MERY,1993,n,NA,PCB_138,TRUE,2
MERY2N,MERY,1993,n,NA,PCB_153_132,FALSE,3.2
MERY2N,MERY,1993,n,NA,PCB_169,TRUE,2
MERY2N,MERY,1993,n,NA,PCB_170_190,TRUE,2
MERY2N,MERY,1993,n,NA,PCB_180,TRUE,2
MERY2N,MERY,1993,n,NA,PCB_187,TRUE,2
MERY2N,MERY,1993,n,NA,PCB_195_208,TRUE,2
MERY2N,MERY,1993,n,NA,PCB_206,TRUE,2
MERY2N,MERY,1993,n,NA,PCB_209,TRUE,2
MERY2N,MERY,1993,n,NA,Total,FALSE,3.2
MERY3N,MERY,1993,n,NA,PCB_8_5,TRUE,2
MERY3N,MERY,1993,n,NA,PCB_18_15,TRUE,2
MERY3N,MERY,1993,n,NA,PCB_28,TRUE,2
MERY3N,MERY,1993,n,NA,PCB_29,TRUE,2
MERY3N,MERY,1993,n,NA,PCB_44,TRUE,2
MERY3N,MERY,1993,n,NA,PCB_50,TRUE,2
MERY3N,MERY,1993,n,NA,PCB_52,TRUE,2
MERY3N,MERY,1993,n,NA,PCB_66_95,TRUE,2
MERY3N,MERY,1993,n,NA,PCB_77,TRUE,2
MERY3N,MERY,1993,n,NA,PCB_87,TRUE,2
MERY3N,MERY,1993,n,NA,PCB_101_90,TRUE,2
MERY3N,MERY,1993,n,NA,PCB_105,TRUE,2
MERY3N,MERY,1993,n,NA,PCB_118,TRUE,2
MERY3N,MERY,1993,n,NA,PCB_126,TRUE,2
MERY3N,MERY,1993,n,NA,PCB_128,TRUE,2
MERY3N,MERY,1993,n,NA,PCB_138,FALSE,5.5
MERY3N,MERY,1993,n,NA,PCB_153_132,FALSE,9.6
MERY3N,MERY,1993,n,NA,PCB_169,TRUE,2
MERY3N,MERY,1993,n,NA,PCB_170_190,TRUE,2
MERY3N,MERY,1993,n,NA,PCB_180,TRUE,2
MERY3N,MERY,1993,n,NA,PCB_187,TRUE,2
MERY3N,MERY,1993,n,NA,PCB_195_208,FALSE,2.1
MERY3N,MERY,1993,n,NA,PCB_206,TRUE,2
MERY3N,MERY,1993,n,NA,PCB_209,TRUE,2
MERY3N,MERY,1993,n,NA,Total,FALSE,17
MEBC1P,MEBC,1995,p,NA,PCB_8_5,TRUE,2
MEBC1P,MEBC,1995,p,NA,PCB_18_15,TRUE,2
MEBC1P,MEBC,1995,p,NA,PCB_28,TRUE,2
MEBC1P,MEBC,1995,p,NA,PCB_29,FALSE,2.5
MEBC1P,MEBC,1995,p,NA,PCB_44,TRUE,2
MEBC1P,MEBC,1995,p,NA,PCB_50,TRUE,2
MEBC1P,MEBC,1995,p,NA,PCB_52,TRUE,2
MEBC1P,MEBC,1995,p,NA,PCB_66_95,TRUE,2
MEBC1P,MEBC,1995,p,NA,PCB_77,TRUE,2
MEBC1P,MEBC,1995,p,NA,PCB_87,TRUE,2
MEBC1P,MEBC,1995,p,NA,PCB_101_90,TRUE,2
MEBC1P,MEBC,1995,p,NA,PCB_105,TRUE,2
MEBC1P,MEBC,1995,p,NA,PCB_118,TRUE,2
MEBC1P,MEBC,1995,p,NA,PCB_126,TRUE,2
MEBC1P,MEBC,1995,p,NA,PCB_128,TRUE,2
MEBC1P,MEBC,1995,p,NA,PCB_138,FALSE,2.1
MEBC1P,MEBC,1995,p,NA,PCB_153_132,FALSE,4.4
MEBC1P,MEBC,1995,p,NA,PCB_169,TRUE,2
MEBC1P,MEBC,1995,p,NA,PCB_170_190,TRUE,2
MEBC1P,MEBC,1995,p,NA,PCB_180,TRUE,2
MEBC1P,MEBC,1995,p,NA,PCB_187,TRUE,2
MEBC1P,MEBC,1995,p,NA,PCB_195_208,TRUE,2
MEBC1P,MEBC,1995,p,NA,PCB_206,TRUE,2
MEBC1P,MEBC,1995,p,NA,PCB_209,TRUE,2
MEBC1P,MEBC,1995,p,NA,Total,FALSE,9
MEBC2P,MEBC,1995,p,NA,PCB_8_5,TRUE,2
MEBC2P,MEBC,1995,p,NA,PCB_18_15,TRUE,2
MEBC2P,MEBC,1995,p,NA,PCB_28,TRUE,2
MEBC2P,MEBC,1995,p,NA,PCB_29,TRUE,2
MEBC2P,MEBC,1995,p,NA,PCB_44,TRUE,2
MEBC2P,MEBC,1995,p,NA,PCB_50,TRUE,2
MEBC2P,MEBC,1995,p,NA,PCB_52,TRUE,2
MEBC2P,MEBC,1995,p,NA,PCB_66_95,TRUE,2
MEBC2P,MEBC,1995,p,NA,PCB_77,TRUE,2
MEBC2P,MEBC,1995,p,NA,PCB_87,TRUE,2
MEBC2P,MEBC,1995,p,NA,PCB_101_90,TRUE,2
MEBC2P,MEBC,1995,p,NA,PCB_105,TRUE,2
MEBC2P,MEBC,1995,p,NA,PCB_118,TRUE,2
MEBC2P,MEBC,1995,p,NA,PCB_126,TRUE,2
MEBC2P,MEBC,1995,p,NA,PCB_128,TRUE,2
MEBC2P,MEBC,1995,p,NA,PCB_138,TRUE,2
MEBC2P,MEBC,1995,p,NA,PCB_153_132,TRUE,2
MEBC2P,MEBC,1995,p,NA,PCB_169,TRUE,2
MEBC2P,MEBC,1995,p,NA,PCB_170_190,TRUE,2
MEBC2P,MEBC,1995,p,NA,PCB_180,TRUE,2
MEBC2P,MEBC,1995,p,NA,PCB_187,TRUE,2
MEBC2P,MEBC,1995,p,NA,PCB_195_208,TRUE,2
MEBC2P,MEBC,1995,p,NA,PCB_206,TRUE,2
MEBC2P,MEBC,1995,p,NA,PCB_209,TRUE,2
MEBC2P,MEBC,1995,p,NA,Total,TRUE,NA
MEBC3P,MEBC,1995,p,NA,PCB_8_5,TRUE,2
MEBC3P,MEBC,1995,p,NA,PCB_18_15,TRUE,2
MEBC3P,MEBC,1995,p,NA,PCB_28,TRUE,2
MEBC3P,MEBC,1995,p,NA,PCB_29,FALSE,2.5
MEBC3P,MEBC,1995,p,NA,PCB_44,TRUE,2
MEBC3P,MEBC,1995,p,NA,PCB_50,TRUE,2
MEBC3P,MEBC,1995,p,NA,PCB_52,TRUE,2
MEBC3P,MEBC,1995,p,NA,PCB_66_95,TRUE,2
MEBC3P,MEBC,1995,p,NA,PCB_77,TRUE,2
MEBC3P,MEBC,1995,p,NA,PCB_87,TRUE,2
MEBC3P,MEBC,1995,p,NA,PCB_101_90,TRUE,2
MEBC3P,MEBC,1995,p,NA,PCB_105,TRUE,2
MEBC3P,MEBC,1995,p,NA,PCB_118,TRUE,2
MEBC3P,MEBC,1995,p,NA,PCB_126,TRUE,2
MEBC3P,MEBC,1995,p,NA,PCB_128,TRUE,2
MEBC3P,MEBC,1995,p,NA,PCB_138,TRUE,2
MEBC3P,MEBC,1995,p,NA,PCB_153_132,FALSE,3.9
MEBC3P,MEBC,1995,p,NA,PCB_169,TRUE,2
MEBC3P,MEBC,1995,p,NA,PCB_170_190,TRUE,2
MEBC3P,MEBC,1995,p,NA,PCB_180,TRUE,2
MEBC3P,MEBC,1995,p,NA,PCB_187,TRUE,2
MEBC3P,MEBC,1995,p,NA,PCB_195_208,TRUE,2
MEBC3P,MEBC,1995,p,NA,PCB_206,TRUE,2
MEBC3P,MEBC,1995,p,NA,PCB_209,TRUE,2
MEBC3P,MEBC,1995,p,NA,Total,FALSE,6.4
MEBC4P,MEBC,1995,p,NA,PCB_8_5,TRUE,2
MEBC4P,MEBC,1995,p,NA,PCB_18_15,TRUE,2
MEBC4P,MEBC,1995,p,NA,PCB_28,TRUE,2
MEBC4P,MEBC,1995,p,NA,PCB_29,TRUE,2
MEBC4P,MEBC,1995,p,NA,PCB_44,TRUE,2
MEBC4P,MEBC,1995,p,NA,PCB_50,TRUE,2
MEBC4P,MEBC,1995,p,NA,PCB_52,TRUE,2
MEBC4P,MEBC,1995,p,NA,PCB_66_95,TRUE,2
MEBC4P,MEBC,1995,p,NA,PCB_77,TRUE,2
MEBC4P,MEBC,1995,p,NA,PCB_87,TRUE,2
MEBC4P,MEBC,1995,p,NA,PCB_101_90,TRUE,2
MEBC4P,MEBC,1995,p,NA,PCB_105,TRUE,2
MEBC4P,MEBC,1995,p,NA,PCB_118,TRUE,2
MEBC4P,MEBC,1995,p,NA,PCB_126,TRUE,2
MEBC4P,MEBC,1995,p,NA,PCB_128,TRUE,2
MEBC4P,MEBC,1995,p,NA,PCB_138,TRUE,2
MEBC4P,MEBC,1995,p,NA,PCB_153_132,TRUE,2
MEBC4P,MEBC,1995,p,NA,PCB_169,TRUE,2
MEBC4P,MEBC,1995,p,NA,PCB_170_190,TRUE,2
MEBC4P,MEBC,1995,p,NA,PCB_180,TRUE,2
MEBC4P,MEBC,1995,p,NA,PCB_187,TRUE,2
MEBC4P,MEBC,1995,p,NA,PCB_195_208,TRUE,2
MEBC4P,MEBC,1995,p,NA,PCB_206,TRUE,2
MEBC4P,MEBC,1995,p,NA,PCB_209,TRUE,2
MEBC4P,MEBC,1995,p,NA,Total,TRUE,NA
MEBC4P Duplicate,MEBC,1995,p,TRUE,PCB_8_5,TRUE,2
MEBC4P Duplicate,MEBC,1995,p,TRUE,PCB_18_15,TRUE,2
MEBC4P Duplicate,MEBC,1995,p,TRUE,PCB_28,TRUE,2
MEBC4P Duplicate,MEBC,1995,p,TRUE,PCB_29,TRUE,2
MEBC4P Duplicate,MEBC,1995,p,TRUE,PCB_44,TRUE,2
MEBC4P Duplicate,MEBC,1995,p,TRUE,PCB_50,TRUE,2
MEBC4P Duplicate,MEBC,1995,p,TRUE,PCB_52,TRUE,2
MEBC4P Duplicate,MEBC,1995,p,TRUE,PCB_66_95,TRUE,2
MEBC4P Duplicate,MEBC,1995,p,TRUE,PCB_77,TRUE,2
MEBC4P Duplicate,MEBC,1995,p,TRUE,PCB_87,TRUE,2
MEBC4P Duplicate,MEBC,1995,p,TRUE,PCB_101_90,TRUE,2
MEBC4P Duplicate,MEBC,1995,p,TRUE,PCB_105,TRUE,2
MEBC4P Duplicate,MEBC,1995,p,TRUE,PCB_118,TRUE,2
MEBC4P Duplicate,MEBC,1995,p,TRUE,PCB_126,TRUE,2
MEBC4P Duplicate,MEBC,1995,p,TRUE,PCB_128,TRUE,2
MEBC4P Duplicate,MEBC,1995,p,TRUE,PCB_138,TRUE,2
MEBC4P Duplicate,MEBC,1995,p,TRUE,PCB_153_132,TRUE,2
MEBC4P Duplicate,MEBC,1995,p,TRUE,PCB_169,TRUE,2
MEBC4P Duplicate,MEBC,1995,p,TRUE,PCB_170_190,TRUE,2
MEBC4P Duplicate,MEBC,1995,p,TRUE,PCB_180,TRUE,2
MEBC4P Duplicate,MEBC,1995,p,TRUE,PCB_187,TRUE,2
