Code,Site,Year,Type,Surrogate,Pesticide,Flag,Concentration
MERY1N,MERY,1993,N,90,HCB,TRUE,2
MERY1N,MERY,1993,N,90,g_HCH,TRUE,2
MERY1N,MERY,1993,N,90,Heptachlor,TRUE,2
MERY1N,MERY,1993,N,90,Aldrin,TRUE,2
MERY1N,MERY,1993,N,90,Heptachlor Epoxide,TRUE,2
MERY1N,MERY,1993,N,90,op_DDE,TRUE,2
MERY1N,MERY,1993,N,90,a_Endosulfan,TRUE,2
MERY1N,MERY,1993,N,90,cis_Chlordane,TRUE,2
MERY1N,MERY,1993,N,90,Transnonachlor,TRUE,2
MERY1N,MERY,1993,N,90,pp_DDE,FALSE,7
MERY1N,MERY,1993,N,90,Dieldrin,TRUE,2
MERY1N,MERY,1993,N,90,op_DDD,TRUE,2
MERY1N,MERY,1993,N,90,b_Endosulfan,TRUE,2
MERY1N,MERY,1993,N,90,pp_DDD,FALSE,7.3
MERY1N,MERY,1993,N,90,op_DDT,TRUE,2
MERY1N,MERY,1993,N,90,pp_DDT,TRUE,2
MERY1N,MERY,1993,N,90,Mirex,TRUE,2
MERY1N,MERY,1993,N,90,Total,FALSE,14
MERY2N,MERY,1993,N,90,HCB,TRUE,2
MERY2N,MERY,1993,N,90,g_HCH,TRUE,2
MERY2N,MERY,1993,N,90,Heptachlor,TRUE,2
MERY2N,MERY,1993,N,90,Aldrin,TRUE,2
MERY2N,MERY,1993,N,90,Heptachlor Epoxide,TRUE,2
MERY2N,MERY,1993,N,90,op_DDE,TRUE,2
MERY2N,MERY,1993,N,90,a_Endosulfan,TRUE,2
MERY2N,MERY,1993,N,90,cis_Chlordane,TRUE,2
MERY2N,MERY,1993,N,90,Transnonachlor,TRUE,2
MERY2N,MERY,1993,N,90,pp_DDE,FALSE,2.2
MERY2N,MERY,1993,N,90,Dieldrin,TRUE,2
MERY2N,MERY,1993,N,90,op_DDD,TRUE,2
MERY2N,MERY,1993,N,90,b_Endosulfan,TRUE,2
MERY2N,MERY,1993,N,90,pp_DDD,TRUE,2
MERY2N,MERY,1993,N,90,op_DDT,TRUE,2
MERY2N,MERY,1993,N,90,pp_DDT,TRUE,2
MERY2N,MERY,1993,N,90,Mirex,TRUE,2
MERY2N,MERY,1993,N,90,Total,FALSE,2.2
MERY3N,MERY,1993,N,93,HCB,TRUE,2
MERY3N,MERY,1993,N,93,g_HCH,TRUE,2
MERY3N,MERY,1993,N,93,Heptachlor,TRUE,2
MERY3N,MERY,1993,N,93,Aldrin,TRUE,2
MERY3N,MERY,1993,N,93,Heptachlor Epoxide,TRUE,2
MERY3N,MERY,1993,N,93,op_DDE,TRUE,2
MERY3N,MERY,1993,N,93,a_Endosulfan,TRUE,2
MERY3N,MERY,1993,N,93,cis_Chlordane,TRUE,2
MERY3N,MERY,1993,N,93,Transnonachlor,TRUE,2
MERY3N,MERY,1993,N,93,pp_DDE,TRUE,2
MERY3N,MERY,1993,N,93,Dieldrin,TRUE,2
MERY3N,MERY,1993,N,93,op_DDD,TRUE,2
MERY3N,MERY,1993,N,93,b_Endosulfan,TRUE,2
MERY3N,MERY,1993,N,93,pp_DDD,TRUE,2
MERY3N,MERY,1993,N,93,op_DDT,TRUE,2
MERY3N,MERY,1993,N,93,pp_DDT,TRUE,2
MERY3N,MERY,1993,N,93,Mirex,TRUE,2
MERY3N,MERY,1993,N,93,Total,TRUE,NA
MEPR1N,MEPR,1994,N,68,HCB,TRUE,2
MEPR1N,MEPR,1994,N,68,g_HCH,FALSE,3.3
MEPR1N,MEPR,1994,N,68,Heptachlor,TRUE,2
MEPR1N,MEPR,1994,N,68,Aldrin,TRUE,2
MEPR1N,MEPR,1994,N,68,Heptachlor Epoxide,TRUE,2
MEPR1N,MEPR,1994,N,68,op_DDE,TRUE,2
MEPR1N,MEPR,1994,N,68,a_Endosulfan,TRUE,2
MEPR1N,MEPR,1994,N,68,cis_Chlordane,TRUE,2
MEPR1N,MEPR,1994,N,68,Transnonachlor,TRUE,2
MEPR1N,MEPR,1994,N,68,pp_DDE,FALSE,5.7
MEPR1N,MEPR,1994,N,68,Dieldrin,TRUE,2
MEPR1N,MEPR,1994,N,68,op_DDD,FALSE,2.5
MEPR1N,MEPR,1994,N,68,b_Endosulfan,TRUE,2
MEPR1N,MEPR,1994,N,68,pp_DDD,FALSE,5
MEPR1N,MEPR,1994,N,68,op_DDT,TRUE,2
MEPR1N,MEPR,1994,N,68,pp_DDT,TRUE,2
MEPR1N,MEPR,1994,N,68,Mirex,TRUE,2
MEPR1N,MEPR,1994,N,68,Total,FALSE,17
MEPR2N,MEPR,1994,N,72,HCB,TRUE,2
MEPR2N,MEPR,1994,N,72,g_HCH,FALSE,3.1
MEPR2N,MEPR,1994,N,72,Heptachlor,TRUE,2
MEPR2N,MEPR,1994,N,72,Aldrin,TRUE,2
MEPR2N,MEPR,1994,N,72,Heptachlor Epoxide,TRUE,2
MEPR2N,MEPR,1994,N,72,op_DDE,TRUE,2
MEPR2N,MEPR,1994,N,72,a_Endosulfan,TRUE,2
MEPR2N,MEPR,1994,N,72,cis_Chlordane,TRUE,2
MEPR2N,MEPR,1994,N,72,Transnonachlor,TRUE,2
MEPR2N,MEPR,1994,N,72,pp_DDE,FALSE,7
MEPR2N,MEPR,1994,N,72,Dieldrin,FALSE,2.2
MEPR2N,MEPR,1994,N,72,op_DDD,FALSE,4
MEPR2N,MEPR,1994,N,72,b_Endosulfan,TRUE,2
MEPR2N,MEPR,1994,N,72,pp_DDD,FALSE,6
MEPR2N,MEPR,1994,N,72,op_DDT,TRUE,2
MEPR2N,MEPR,1994,N,72,pp_DDT,TRUE,2
MEPR2N,MEPR,1994,N,72,Mirex,TRUE,2
MEPR2N,MEPR,1994,N,72,Total,FALSE,22
MEPR3N,MEPR,1994,N,76,HCB,TRUE,2
MEPR3N,MEPR,1994,N,76,g_HCH,FALSE,3.4
MEPR3N,MEPR,1994,N,76,Heptachlor,TRUE,2
MEPR3N,MEPR,1994,N,76,Aldrin,TRUE,2
MEPR3N,MEPR,1994,N,76,Heptachlor Epoxide,TRUE,2
MEPR3N,MEPR,1994,N,76,op_DDE,TRUE,2
MEPR3N,MEPR,1994,N,76,a_Endosulfan,TRUE,2
MEPR3N,MEPR,1994,N,76,cis_Chlordane,FALSE,2
MEPR3N,MEPR,1994,N,76,Transnonachlor,TRUE,2
MEPR3N,MEPR,1994,N,76,pp_DDE,FALSE,7.2
MEPR3N,MEPR,1994,N,76,Dieldrin,FALSE,2.3
MEPR3N,MEPR,1994,N,76,op_DDD,FALSE,3.4
MEPR3N,MEPR,1994,N,76,b_Endosulfan,TRUE,2
MEPR3N,MEPR,1994,N,76,pp_DDD,FALSE,5.7
MEPR3N,MEPR,1994,N,76,op_DDT,TRUE,2
MEPR3N,MEPR,1994,N,76,pp_DDT,TRUE,2
MEPR3N,MEPR,1994,N,76,Mirex,TRUE,2
MEPR3N,MEPR,1994,N,76,Total,FALSE,24
MEPR4N,MEPR,1994,N,58,HCB,TRUE,2
MEPR4N,MEPR,1994,N,58,g_HCH,TRUE,2
MEPR4N,MEPR,1994,N,58,Heptachlor,TRUE,2
MEPR4N,MEPR,1994,N,58,Aldrin,TRUE,2
MEPR4N,MEPR,1994,N,58,Heptachlor Epoxide,TRUE,2
MEPR4N,MEPR,1994,N,58,op_DDE,TRUE,2
MEPR4N,MEPR,1994,N,58,a_Endosulfan,TRUE,2
MEPR4N,MEPR,1994,N,58,cis_Chlordane,TRUE,2
MEPR4N,MEPR,1994,N,58,Transnonachlor,TRUE,2
MEPR4N,MEPR,1994,N,58,pp_DDE,FALSE,6.1
MEPR4N,MEPR,1994,N,58,Dieldrin,FALSE,2
MEPR4N,MEPR,1994,N,58,op_DDD,FALSE,2.8
MEPR4N,MEPR,1994,N,58,b_Endosulfan,TRUE,2
MEPR4N,MEPR,1994,N,58,pp_DDD,FALSE,4.6
MEPR4N,MEPR,1994,N,58,op_DDT,TRUE,2
MEPR4N,MEPR,1994,N,58,pp_DDT,TRUE,2
MEPR4N,MEPR,1994,N,58,Mirex,TRUE,2
MEPR4N,MEPR,1994,N,58,Total,FALSE,16
MEPH1N,MEPH,1994,N,74,HCB,TRUE,2
MEPH1N,MEPH,1994,N,74,g_HCH,FALSE,2.3
MEPH1N,MEPH,1994,N,74,Heptachlor,TRUE,2
MEPH1N,MEPH,1994,N,74,Aldrin,TRUE,2
MEPH1N,MEPH,1994,N,74,Heptachlor Epoxide,TRUE,2
MEPH1N,MEPH,1994,N,74,op_DDE,TRUE,2
MEPH1N,MEPH,1994,N,74,a_Endosulfan,TRUE,2
MEPH1N,MEPH,1994,N,74,cis_Chlordane,FALSE,2.1
MEPH1N,MEPH,1994,N,74,Transnonachlor,FALSE,2.8
MEPH1N,MEPH,1994,N,74,pp_DDE,FALSE,10
MEPH1N,MEPH,1994,N,74,Dieldrin,FALSE,4.9
MEPH1N,MEPH,1994,N,74,op_DDD,FALSE,4.8
MEPH1N,MEPH,1994,N,74,b_Endosulfan,TRUE,2
MEPH1N,MEPH,1994,N,74,pp_DDD,FALSE,12
MEPH1N,MEPH,1994,N,74,op_DDT,TRUE,2
MEPH1N,MEPH,1994,N,74,pp_DDT,TRUE,2
MEPH1N,MEPH,1994,N,74,Mirex,TRUE,2
MEPH1N,MEPH,1994,N,74,Total,FALSE,39
MEPH2N,MEPH,1994,N,60,HCB,TRUE,2
MEPH2N,MEPH,1994,N,60,g_HCH,FALSE,3
MEPH2N,MEPH,1994,N,60,Heptachlor,TRUE,2
MEPH2N,MEPH,1994,N,60,Aldrin,TRUE,2
MEPH2N,MEPH,1994,N,60,Heptachlor Epoxide,TRUE,2
MEPH2N,MEPH,1994,N,60,op_DDE,TRUE,2
MEPH2N,MEPH,1994,N,60,a_Endosulfan,TRUE,2
MEPH2N,MEPH,1994,N,60,cis_Chlordane,FALSE,2.1
MEPH2N,MEPH,1994,N,60,Transnonachlor,FALSE,2.4
MEPH2N,MEPH,1994,N,60,pp_DDE,FALSE,9.7
MEPH2N,MEPH,1994,N,60,Dieldrin,FALSE,5.1
MEPH2N,MEPH,1994,N,60,op_DDD,FALSE,4.5
MEPH2N,MEPH,1994,N,60,b_Endosulfan,TRUE,2
MEPH2N,MEPH,1994,N,60,pp_DDD,FALSE,9.2
MEPH2N,MEPH,1994,N,60,op_DDT,TRUE,2
MEPH2N,MEPH,1994,N,60,pp_DDT,FALSE,2.7
MEPH2N,MEPH,1994,N,60,Mirex,TRUE,2
MEPH2N,MEPH,1994,N,60,Total,FALSE,39
MEPH3N,MEPH,1994,N,69,HCB,TRUE,2
MEPH3N,MEPH,1994,N,69,g_HCH,FALSE,2.7
MEPH3N,MEPH,1994,N,69,Heptachlor,TRUE,2
MEPH3N,MEPH,1994,N,69,Aldrin,TRUE,2
MEPH3N,MEPH,1994,N,69,Heptachlor Epoxide,TRUE,2
MEPH3N,MEPH,1994,N,69,op_DDE,TRUE,2
MEPH3N,MEPH,1994,N,69,a_Endosulfan,TRUE,2
MEPH3N,MEPH,1994,N,69,cis_Chlordane,FALSE,2.2
MEPH3N,MEPH,1994,N,69,Transnonachlor,FALSE,2
MEPH3N,MEPH,1994,N,69,pp_DDE,FALSE,10
MEPH3N,MEPH,1994,N,69,Dieldrin,FALSE,5
MEPH3N,MEPH,1994,N,69,op_DDD,FALSE,5.1
MEPH3N,MEPH,1994,N,69,b_Endosulfan,TRUE,2
MEPH3N,MEPH,1994,N,69,pp_DDD,FALSE,11
MEPH3N,MEPH,1994,N,69,op_DDT,TRUE,2
MEPH3N,MEPH,1994,N,69,pp_DDT,FALSE,2.7
MEPH3N,MEPH,1994,N,69,Mirex,TRUE,2
MEPH3N,MEPH,1994,N,69,Total,FALSE,40
MEPH4N,MEPH,1994,N,49,HCB,TRUE,2
MEPH4N,MEPH,1994,N,49,g_HCH,FALSE,2.8
MEPH4N,MEPH,1994,N,49,Heptachlor,TRUE,2
MEPH4N,MEPH,1994,N,49,Aldrin,TRUE,2
MEPH4N,MEPH,1994,N,49,Heptachlor Epoxide,TRUE,2
MEPH4N,MEPH,1994,N,49,op_DDE,TRUE,2
MEPH4N,MEPH,1994,N,49,a_Endosulfan,TRUE,2
MEPH4N,MEPH,1994,N,49,cis_Chlordane,FALSE,2.5
MEPH4N,MEPH,1994,N,49,Transnonachlor,TRUE,2
MEPH4N,MEPH,1994,N,49,pp_DDE,FALSE,4.7
MEPH4N,MEPH,1994,N,49,Dieldrin,FALSE,4.1
MEPH4N,MEPH,1994,N,49,op_DDD,FALSE,2.6
MEPH4N,MEPH,1994,N,49,b_Endosulfan,TRUE,2
MEPH4N,MEPH,1994,N,49,pp_DDD,FALSE,8.4
MEPH4N,MEPH,1994,N,49,op_DDT,TRUE,2
MEPH4N,MEPH,1994,N,49,pp_DDT,TRUE,2
MEPH4N,MEPH,1994,N,49,Mirex,TRUE,2
MEPH4N,MEPH,1994,N,49,Total,FALSE,25
MEBC1P,MEBC,1995,NA,88,HCB,TRUE,2
MEBC1P,MEBC,1995,NA,88,g_HCH,TRUE,2
MEBC1P,MEBC,1995,NA,88,Heptachlor,TRUE,2
MEBC1P,MEBC,1995,NA,88,Aldrin,TRUE,2
MEBC1P,MEBC,1995,NA,88,Heptachlor Epoxide,TRUE,2
MEBC1P,MEBC,1995,NA,88,op_DDE,TRUE,2
MEBC1P,MEBC,1995,NA,88,a_Endosulfan,TRUE,2
MEBC1P,MEBC,1995,NA,88,cis_Chlordane,TRUE,2
MEBC1P,MEBC,1995,NA,88,Transnonachlor,TRUE,2
MEBC1P,MEBC,1995,NA,88,pp_DDE,FALSE,3.7
MEBC1P,MEBC,1995,NA,88,Dieldrin,TRUE,2
MEBC1P,MEBC,1995,NA,88,op_DDD,FALSE,3
MEBC1P,MEBC,1995,NA,88,b_Endosulfan,TRUE,2
MEBC1P,MEBC,1995,NA,88,pp_DDD,TRUE,2
MEBC1P,MEBC,1995,NA,88,op_DDT,TRUE,2
MEBC1P,MEBC,1995,NA,88,pp_DDT,TRUE,2
MEBC1P,MEBC,1995,NA,88,Mirex,TRUE,2
MEBC1P,MEBC,1995,NA,88,Total,FALSE,6.7
MEBC2P,MEBC,1995,NA,71,HCB,TRUE,2
MEBC2P,MEBC,1995,NA,71,g_HCH,TRUE,2
MEBC2P,MEBC,1995,NA,71,Heptachlor,TRUE,2
MEBC2P,MEBC,1995,NA,71,Aldrin,TRUE,2
MEBC2P,MEBC,1995,NA,71,Heptachlor Epoxide,TRUE,2
MEBC2P,MEBC,1995,NA,71,op_DDE,TRUE,2
MEBC2P,MEBC,1995,NA,71,a_Endosulfan,TRUE,2
MEBC2P,MEBC,1995,NA,71,cis_Chlordane,TRUE,2
MEBC2P,MEBC,1995,NA,71,Transnonachlor,TRUE,2
MEBC2P,MEBC,1995,NA,71,pp_DDE,FALSE,3.4
MEBC2P,MEBC,1995,NA,71,Dieldrin,TRUE,2
MEBC2P,MEBC,1995,NA,71,op_DDD,FALSE,2.5
MEBC2P,MEBC,1995,NA,71,b_Endosulfan,TRUE,2
MEBC2P,MEBC,1995,NA,71,pp_DDD,TRUE,2
MEBC2P,MEBC,1995,NA,71,op_DDT,TRUE,2
MEBC2P,MEBC,1995,NA,71,pp_DDT,TRUE,2
MEBC2P,MEBC,1995,NA,71,Mirex,TRUE,2
MEBC2P,MEBC,1995,NA,71,Total,FALSE,5.9
MEBC3P,MEBC,1995,NA,81,HCB,TRUE,2
MEBC3P,MEBC,1995,NA,81,g_HCH,TRUE,2
MEBC3P,MEBC,1995,NA,81,Heptachlor,TRUE,2
MEBC3P,MEBC,1995,NA,81,Aldrin,TRUE,2
MEBC3P,MEBC,1995,NA,81,Heptachlor Epoxide,TRUE,2
MEBC3P,MEBC,1995,NA,81,op_DDE,TRUE,2
MEBC3P,MEBC,1995,NA,81,a_Endosulfan,TRUE,2
MEBC3P,MEBC,1995,NA,81,cis_Chlordane,TRUE,2
MEBC3P,MEBC,1995,NA,81,Transnonachlor,TRUE,2
MEBC3P,MEBC,1995,NA,81,pp_DDE,FALSE,3.9
MEBC3P,MEBC,1995,NA,81,Dieldrin,TRUE,2
MEBC3P,MEBC,1995,NA,81,op_DDD,FALSE,3
MEBC3P,MEBC,1995,NA,81,b_Endosulfan,TRUE,2
MEBC3P,MEBC,1995,NA,81,pp_DDD,TRUE,2
MEBC3P,MEBC,1995,NA,81,op_DDT,TRUE,2
MEBC3P,MEBC,1995,NA,81,pp_DDT,TRUE,2
MEBC3P,MEBC,1995,NA,81,Mirex,TRUE,2
MEBC3P,MEBC,1995,NA,81,Total,FALSE,6.9
MEBC4P,MEBC,1995,NA,96,HCB,TRUE,2
MEBC4P,MEBC,1995,NA,96,g_HCH,TRUE,2
MEBC4P,MEBC,1995,NA,96,Heptachlor,TRUE,2
MEBC4P,MEBC,1995,NA,96,Aldrin,TRUE,2
MEBC4P,MEBC,1995,NA,96,Heptachlor Epoxide,TRUE,2
MEBC4P,MEBC,1995,NA,96,op_DDE,TRUE,2
MEBC4P,MEBC,1995,NA,96,a_Endosulfan,TRUE,2
MEBC4P,MEBC,1995,NA,96,cis_Chlordane,TRUE,2
MEBC4P,MEBC,1995,NA,96,Transnonachlor,TRUE,2
MEBC4P,MEBC,1995,NA,96,pp_DDE,FALSE,3.8
MEBC4P,MEBC,1995,NA,96,Dieldrin,TRUE,2
MEBC4P,MEBC,1995,NA,96,op_DDD,FALSE,3.2
MEBC4P,MEBC,1995,NA,96,b_Endosulfan,TRUE,2
MEBC4P,MEBC,1995,NA,96,pp_DDD,TRUE,2
MEBC4P,MEBC,1995,NA,96,op_DDT,TRUE,2
MEBC4P,MEBC,1995,NA,96,pp_DDT,TRUE,2
MEBC4P,MEBC,1995,NA,96,Mirex,TRUE,2
MEBC4P,MEBC,1995,NA,96,Total,FALSE,7
MEBC4P Duplicate,MEBC,1995,NA,76,HCB,TRUE,2
MEBC4P Duplicate,MEBC,1995,NA,76,g_HCH,TRUE,2
MEBC4P Duplicate,MEBC,1995,NA,76,Heptachlor,TRUE,2
MEBC4P Duplicate,MEBC,1995,NA,76,Aldrin,TRUE,2
MEBC4P Duplicate,MEBC,1995,NA,76,Heptachlor Epoxide,TRUE,2
MEBC4P Duplicate,MEBC,1995,NA,76,op_DDE,TRUE,2
MEBC4P Duplicate,MEBC,1995,NA,76,a_Endosulfan,TRUE,2
MEBC4P Duplicate,MEBC,1995,NA,76,cis_Chlordane,TRUE,2
